MBON,fallprop_bootstrap,fallprop_deltag,fallnumber_bootstrap,fallnumber_deltag,speed_bootstrap,speed_deltag,time_bootstrap,time_deltag,height_bootstrap,height_deltag,displacement_bootstrap,displacement_deltag,bspeed_bootstrap,bspeed_deltag,pausepos_bootstrap,pausepos_deltag,displacementbetweenpause_bootstrap,displacementbetweenpause_deltag,maxvelocity_bootstrap,maxvelocity_deltag,straightindex_bootstrap,straightindex_deltag,ascent_bootstrap,ascent_deltag,descent_bootstrap,descent_deltag,meanpause_bootstrap,meanpause_deltag,meanbout_bootstrap,meanbout_deltag,pause_bootstrap,pause_deltag,bout_bootstrap,bout_deltag
MB011B,0.15214932126696834,0.081,0.15214932126696834,0.09,0.0029877928913664828,-0.028,0.1683538732360447,0.262,0.31253168595965575,0.243,-0.03757732600494302,-0.017,0.40361572567350235,0.166,0.13819751798092256,0.201,0.3630079254556541,0.304,-0.17290705276659668,-0.242,0.11110922819521339,0.104,-0.03130173237097254,0.089,-0.014532672275818075,-0.051,0.2324271687035409,0.319,0.11120498769999874,0.126,0.1886089171418064,-0.114,0.20118506122562804,-0.095
MB011B,-0.08333333333333334,0.081,-0.056184012066365016,0.09,0.05232143816635224,-0.028,0.30600482473867213,0.262,0.43566641208386153,0.243,-0.0004396558716072966,-0.017,0.1657637330144475,0.166,0.45131073280344997,0.201,0.15124392248794719,0.304,-0.24204603320624696,-0.242,-0.1987655049085348,0.104,0.08513635669977605,0.089,-0.038265015778175045,-0.051,0.14018133823880485,0.319,0.041901901130357404,0.126,-0.34555150129700346,-0.114,-0.35462737762100677,-0.095
MB011B,0.05797511312217195,0.081,0.04440045248868778,0.09,-0.16248670193611212,-0.028,0.10433294303793358,0.262,0.08031576404480072,0.243,-0.018537271941180544,-0.017,0.06098264420625731,0.166,0.10645518383466028,0.201,0.4823532056702291,0.304,-0.3080766492988186,-0.242,0.15585666375772314,0.104,0.17605433745949517,0.089,-0.10794820956383101,-0.051,0.550313375176118,0.319,0.09197307380189189,0.126,-0.2695052146451457,-0.114,-0.229585755028327,-0.095
MB011B,0.02083333333333333,0.081,0.02535822021116138,0.09,-0.03860907530357869,-0.028,0.07884937371855284,0.262,-0.06862280839940929,0.243,0.015333788748210092,-0.017,0.3164524458241187,0.166,0.005793044723528822,0.201,0.4482614217497922,0.304,-0.15662670744404106,-0.242,0.3900913202216208,0.104,0.1596643527495592,0.089,-0.06529905950988434,-0.051,0.2304983600226271,0.319,0.1165222765982931,0.126,0.07350356251613048,-0.114,0.10618485599951251,-0.095
MB011B,0.0625,0.081,0.08512443438914025,0.09,-0.16326181202277176,-0.028,0.4526156044351268,0.262,0.27199227514776697,0.243,-0.06761892365403066,-0.017,0.07523905274822493,0.166,0.32990439729587573,0.201,0.12118591896834223,0.304,0.03399188277710417,-0.242,-0.22515688029259673,0.104,-0.028580210635491227,0.089,-0.07306818999574415,-0.051,0.2009302711058918,0.319,0.11866581790801445,0.126,-0.09796551045151146,-0.114,-0.03436275971083299,-0.095
MB011B,0.10049019607843136,0.081,0.1095399698340875,0.09,-0.05426666979355795,-0.028,0.4028892793626662,0.262,0.2972887529871281,0.243,-0.08664755646815436,-0.017,0.34161802040596917,0.166,0.36864269952041806,0.201,0.30680612039830973,0.304,-0.12377525362576856,-0.242,-0.22419537769048237,0.104,0.06735562772115246,0.089,-0.1430724948367358,-0.051,0.44945321893729356,0.319,0.18372183580119375,0.126,-0.13848429042917337,-0.114,-0.11166163747326381,-0.095
MB011B,0.06881598793363498,0.081,0.07334087481146305,0.09,0.00495764406857312,-0.028,0.16517248496432252,0.262,0.11898916404200259,0.243,0.1946163054793939,-0.017,0.22814591923242508,0.166,-0.008404985912851243,0.201,0.33619491570395615,0.304,-0.5748743401867364,-0.242,0.3882626187683953,0.104,0.3419484738734259,0.089,0.1122074701407564,-0.051,0.3670616568279611,0.319,0.15027335145951792,0.126,-0.14189813301880805,-0.114,-0.137404821278151,-0.095
MB011B,-0.09690799396681749,0.081,-0.0969079939668175,0.09,-0.14425267405051678,-0.028,0.44990673528312936,0.262,0.06520730750614374,0.243,0.10720659004228965,-0.017,0.050497148303172486,0.166,0.08102236673960687,0.201,0.5677772604983745,0.304,-0.2155559314384541,-0.242,0.5867671909940789,0.104,0.47038458117737136,0.089,-0.17477552725745202,-0.051,0.534696577217555,0.319,0.1396178457166468,0.126,-0.08398052770500869,-0.114,-0.09765771522392645,-0.095
MB011B,0.05524132730015084,0.081,0.06429110105580695,0.09,-0.014572924838330406,-0.028,0.28849276117949846,0.262,0.3063082227009029,0.243,0.00448174743980855,-0.017,0.39744709492373526,0.166,0.1929705745074831,0.201,0.2549084331359351,0.304,-0.03014084989140281,-0.242,-0.06843813822244427,0.104,0.06523049002164756,0.089,-0.01906507456376591,-0.051,0.13640820004532322,0.319,0.16186078750508787,0.126,-0.03216075156855674,-0.114,-0.05014605821957389,-0.095
MB011B,0.1059577677224736,0.081,0.11953242835595777,0.09,0.0860743701066944,-0.028,0.010582985475307257,0.262,0.2644400855236018,0.243,0.12911486704321465,-0.017,0.2702376902106138,0.166,0.1193386137643958,0.201,0.5915475496325043,0.304,-0.19676727671093797,-0.242,0.16435548998569793,0.104,0.20838267548464623,0.089,0.06714087696719642,-0.051,0.2895593646116533,0.319,0.09886062169991858,0.126,-0.1528224293056386,-0.114,-0.1292705298065892,-0.095
MB011B,0.20286576168929113,0.081,0.24811463046757165,0.09,0.06112952654048947,-0.028,0.19720278865237018,0.262,0.251103021582605,0.243,0.07704562756168996,-0.017,0.039862242992742006,0.166,0.22314976532582448,0.201,0.31423055854546195,0.304,-0.22874385303704273,-0.242,0.12166395837974621,0.104,0.06483177759664673,0.089,0.12571318498192863,-0.051,0.24628388431267878,0.319,0.24329262326959097,0.126,-0.3281291322188695,-0.114,-0.273815964904947,-0.095
